timestamp,x,y,z
9750000.0,-151.92100614637542,1.0998991954584534,-6.531450861463897
9792000,-149.37503248987133,1.133142127207567,-6.429831825697401
9834000,-146.49296647079197,1.2399814340495545,-6.352583604528957
9874000,-143.83314808751265,1.5183284471237113,-6.457568451744163
9916000,-141.38972106478906,1.6154578697713262,-6.375819900751762
9958000,-139.4862620812306,1.8719072297470825,-6.526208785788968
10000000.0,-137.02984871708634,1.659203131652721,-6.364384462251605
10042000,-134.5495288625273,0.9715054184193753,-6.344276458211839
10084000,-132.56387901087135,0.4961561971755859,-6.280074545152889
10124000,-130.78982661593326,0.6567011740618776,-6.14331662823077
10166000,-128.6966512853126,1.9894191662854364,-5.803646147897438
10208000,-126.43076857986298,3.26452104924051,-5.463615764824598
10250000.0,-123.94761272674162,4.159841997457022,-5.166372321383496
10292000,-121.1502185366007,4.935571003016894,-4.813834467931922
10334000,-118.28634466154669,5.480321369197744,-4.428787888051748
10374000,-115.61219042692261,5.596703436160134,-4.30381509728436
10416000,-112.21646931181904,6.118354925674722,-3.800971059908257
10458000,-108.9627658586649,6.75813205714161,-3.143449411438019
10500000.0,-106.08348777312432,6.83637831287533,-3.044388527099327
10542000,-102.88586095705038,6.891013045973085,-2.8483541828132877
10584000,-99.78877200561442,6.865537653126888,-2.6534813017978895
10624000,-96.35666777163111,6.608489124031582,-3.5339658207477114
10666000,-91.3706679817738,6.538643407150353,-4.696498002776823
10708000,-89.50663221786334,6.621992359696644,-5.190889392687626
10750000.0,-88.09502697563784,6.700466924949832,-5.6704757026164545
10792000,-85.17005897870993,6.7935210877193875,-5.664025908115251
10834000,-81.32713716247342,7.016035889848882,-6.685431842612458
10874000,-76.91928565466917,7.480209911726229,-7.909771042626731
10916000,-72.47254491847083,7.882048172864214,-8.583634242377217
10958000,-68.19271086886317,8.311489685410246,-9.027720797979372
11000000.0,-64.41094407468528,8.352395094764603,-9.002302670948332
11042000,-61.20866112376175,8.257879140048903,-8.929524011676481
11084000,-59.01268992247977,8.530990793521807,-9.030641705504587
11124000,-57.93645267751112,9.711171390969511,-9.588610672839986
11166000,-56.818046815065614,10.71934808085237,-10.055701106263859
11208000,-55.89457539142706,11.663291949228457,-10.5029683665715
11250000.0,-55.87007419296409,12.94895412327391,-11.118990810157465
11292000,-55.41742640882294,13.184246538657053,-11.144482222189385
11334000,-53.423764545088375,13.208601460174945,-11.032852823973146
11374000,-51.65661994855285,12.77866699926617,-10.909483028413002
11416000,-50.673340293964365,11.45960309676173,-10.587828587697592
11458000,-48.114084280764935,9.964046848582049,-10.30508102676482
11500000.0,-45.08048952722499,8.777890095948017,-10.227890600821253
11542000,-43.37754653160099,8.47877264120179,-10.397010365098941
11584000,-41.95405152219241,9.55549388096703,-10.152752459750875
11624000,-40.09003035859501,11.266877445733549,-9.992409864774242
11666000,-37.28010213454969,12.994154012257452,-9.715452405596649
11708000,-35.7268539820794,13.483936242030165,-9.580855814471725
11750000.0,-34.62357808923488,12.64905903673032,-9.717887787135142
11792000,-32.50263599611057,10.834836737347107,-9.898128749283186
11834000,-30.60007583604208,9.290382909700961,-10.689582872001656
11874000,-28.791680015529597,8.67231312380109,-11.301230863722113
11916000,-26.840813460777593,9.321389149603165,-11.475890265104832
11958000,-25.21536885262512,9.698888034649856,-11.114351632143507
12000000.0,-22.802003811601434,9.921597277402112,-10.932649610940354
12042000,-21.16068867306493,9.987476485448965,-10.618144089452233
12084000,-19.07163586946437,9.287510532948604,-10.731106703448214
12124000,-16.83705124763475,9.53128353760626,-11.066344339870106
12166000,-14.160690000764385,9.466690410950003,-11.541693736989531
12208000,-12.073567407902967,8.993745462893404,-12.1292160441688
12250000.0,-11.48032061509715,8.956391103748379,-12.269531847082163
12292000,-11.28942229250202,9.008758811818408,-12.126682088589556
12334000,-11.09903732227119,8.993697272848772,-12.080962975364114
12374000,-10.737965397809669,8.995288306420138,-12.052907832487932
12416000,-10.229453991365252,9.037410601275313,-12.03752027843025
12458000,-9.749414650219032,9.008807967437313,-12.03399373938505
12500000.0,-8.657475402275134,8.866030357946306,-11.724468507145815
12542000,-6.7679219582934085,8.925334908652308,-11.156111409361895
12584000,-6.219623824526722,8.97401526840974,-10.829244180855817
12624000,-6.203381745455291,8.979333305240946,-10.802605598106453
12666000,-6.201327547209872,8.979214196418601,-10.780837831221499
12708000,-6.184107936862356,9.012000259014828,-10.675414648855543
12750000.0,-6.1816935052030315,9.014741092835497,-10.66701284200222
12792000,-6.177825692954054,9.018480564466369,-10.644672261928365
12834000,-6.186831957065957,9.021877350444855,-10.69900049533418
12874000,-6.209182392019684,9.067124705548958,-10.56782891052436
12916000,-6.382787679827814,9.11573580028428,-10.329999197619337
12958000,-6.491301515319707,9.228532304491928,-9.99648381558485
13000000.0,-6.529200116100813,9.506380949695076,-9.485579054224033
13042000,-6.825186704463747,9.585798309868663,-9.000901627899307
13084000,-7.639571267788322,9.58922317817189,-8.433653089077152
